-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 -595,0 -69,0 -337,0 467,0 518,0 -306,0 -370,0 -799,0 -990,0 -990,0 50,0 905,0 -799,0 809,0 -855,0 998,0387959920096 -917,0 -990,0 -220,0 930,0 979,0 -990,0 -595,0 -809,0 -809,0 50,0 -742,0 -799,0 -718,0 -306,0 -990,0 -933,0 284,0 809,0 144,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
-348,0 -742,0 50,0 -69,0 -306,0 467,0 518,0 -742,0 -718,0 -337,0 -990,0 -742,0 50,0 -337,0 -799,0 -298,0 -855,0 -298,0 -917,0 -990,0 -337,0 930,0 843,1824210864208 -990,0 -306,0 -990,0 905,0 50,0 -306,0 -799,0 467,0 -306,0 -990,0 -933,0 -337,0 809,0 -306,0 -337,0 -536,0 952,0 
 
